Number,Direction,Clue,Answer
1,ACROSS,Garden bloom,ROSE
2,DOWN,Baking need,OVEN
3,ACROSS,Family member,AUNT
4,DOWN,Weather event,RAIN
5,ACROSS,Kitchen tool,FORK
6,ACROSS,Garden bloom,ROSE
7,DOWN,Baking need,OVEN
8,ACROSS,Family member,AUNT
9,DOWN,Weather event,RAIN
10,ACROSS,Kitchen tool,FORK
11,ACROSS,Garden bloom,ROSE
12,DOWN,Baking need,OVEN
13,ACROSS,Family member,AUNT
14,DOWN,Weather event,RAIN
15,ACROSS,Kitchen tool,FORK
16,ACROSS,Garden bloom,ROSE
17,DOWN,Baking need,OVEN
18,ACROSS,Family member,AUNT
19,DOWN,Weather event,RAIN
20,ACROSS,Kitchen tool,FORK
21,ACROSS,Garden bloom,ROSE
22,DOWN,Baking need,OVEN
23,ACROSS,Family member,AUNT
24,DOWN,Weather event,RAIN
25,ACROSS,Kitchen tool,FORK
26,ACROSS,Garden bloom,ROSE
27,DOWN,Baking need,OVEN
28,ACROSS,Family member,AUNT
29,DOWN,Weather event,RAIN
30,ACROSS,Kitchen tool,FORK
