date,keyword,amazon_rank,avg_price,est_sales,competition_level,reviews_avg
2025-06-24,crossword puzzle books large print,1,7.41,2000,high,3.5354409459235767
2025-06-24,crossword puzzle books large print,2,15.03,2000,high,4.302813436219759
2025-06-24,crossword puzzle books large print,3,11.99,2000,high,4.018564582306677
2025-06-24,crossword puzzle books large print,4,21.78,2000,high,4.602258496990025
2025-06-24,crossword puzzle books large print,5,23.56,2000,high,4.548526817286386
2025-06-24,crossword puzzle books large print,6,17.85,2000,medium,4.870107672068131
2025-06-24,crossword puzzle books large print,7,19.32,2000,medium,4.40828212921093
2025-06-24,crossword puzzle books large print,8,10.97,2000,medium,4.818507249560334
2025-06-24,crossword puzzle books large print,9,12.34,2000,medium,3.8367797353635638
2025-06-24,crossword puzzle books large print,10,24.32,2000,high,4.686848460547334
2025-06-24,sudoku books for adults,1,21.72,2000,high,4.663894344203638
2025-06-24,sudoku books for adults,2,15.6,2000,medium,4.849256610298794
2025-06-24,sudoku books for adults,3,14.73,2000,high,3.672848793806892
2025-06-24,sudoku books for adults,4,10.82,2000,medium,4.829020526190114
2025-06-24,sudoku books for adults,5,17.92,2000,high,4.20522271957453
2025-06-24,sudoku books for adults,6,19.76,2000,medium,3.70912532457647
2025-06-24,sudoku books for adults,7,8.84,1210,medium,3.8611051698790684
2025-06-24,sudoku books for adults,8,14.95,2000,high,3.5496866247388503
2025-06-24,sudoku books for adults,9,22.4,110,low,4.579843999715496
2025-06-24,sudoku books for adults,10,22.65,2000,medium,4.44340691838022
2025-06-24,word search puzzle books,1,21.31,2000,high,4.431484758417801
2025-06-24,word search puzzle books,2,20.62,2000,high,4.366335103591153
2025-06-24,word search puzzle books,3,19.42,2000,high,4.5225844586384
2025-06-24,word search puzzle books,4,7.72,2000,medium,3.808569240378134
2025-06-24,word search puzzle books,5,12.1,2000,high,3.6182561423010537
2025-06-24,word search puzzle books,6,12.67,2000,high,4.571179631076234
2025-06-24,word search puzzle books,7,18.71,2000,high,4.669691386455285
2025-06-24,word search puzzle books,8,19.38,2000,high,4.2230322330623355
2025-06-24,word search puzzle books,9,23.68,2000,high,4.875479881494378
2025-06-24,word search puzzle books,10,21.35,2000,high,3.710548556311737
