date,keyword,amazon_rank,avg_price,est_sales,competition_level,reviews_avg
2025-06-25,crossword puzzle books large print,1,11.6,2000,high,4.113241956209943
2025-06-25,crossword puzzle books large print,2,16.13,2000,high,4.856823773443891
2025-06-25,crossword puzzle books large print,3,16.79,2000,high,4.503941614023428
2025-06-25,crossword puzzle books large print,4,20.83,2000,high,3.973247994026985
2025-06-25,crossword puzzle books large print,5,10.39,2000,high,3.966971166103427
2025-06-25,crossword puzzle books large print,6,22.51,2000,high,4.946444157753687
2025-06-25,crossword puzzle books large print,7,10.28,2000,high,4.225425379022523
2025-06-25,crossword puzzle books large print,8,11.58,2000,medium,4.444037638941943
2025-06-25,crossword puzzle books large print,9,9.77,2000,high,3.8437361799945755
2025-06-25,crossword puzzle books large print,10,16.86,2000,high,3.7682664826428525
2025-06-25,sudoku books for adults,1,11.75,2000,high,3.5827721998914983
2025-06-25,sudoku books for adults,2,23.76,2000,high,3.7102078687167803
2025-06-25,sudoku books for adults,3,21.87,2000,high,4.079431236704544
2025-06-25,sudoku books for adults,4,17.16,2000,medium,4.871472652021958
2025-06-25,sudoku books for adults,5,15.31,2000,high,4.129585490881343
2025-06-25,sudoku books for adults,6,18.25,2000,high,4.879098197190007
2025-06-25,sudoku books for adults,7,18.99,2000,high,3.973801220568061
2025-06-25,sudoku books for adults,8,12.75,2000,high,4.70121275086499
2025-06-25,sudoku books for adults,9,17.66,2000,medium,4.675438570701331
2025-06-25,sudoku books for adults,10,20.52,2000,medium,4.193774211265295
2025-06-25,word search puzzle books,1,7.19,2000,high,4.744417515595171
2025-06-25,word search puzzle books,2,15.83,2000,high,4.075294531012325
2025-06-25,word search puzzle books,3,11.76,2000,high,3.969604088824515
2025-06-25,word search puzzle books,4,19.57,2000,high,4.861356685842741
2025-06-25,word search puzzle books,5,13.34,2000,high,4.311480303064425
2025-06-25,word search puzzle books,6,22.06,1270,medium,4.687745673813184
2025-06-25,word search puzzle books,7,22.5,2000,high,4.006158652844156
2025-06-25,word search puzzle books,8,8.08,2000,medium,3.5554955687334733
2025-06-25,word search puzzle books,9,22.69,2000,high,4.52438782890029
2025-06-25,word search puzzle books,10,13.76,2000,high,3.5269546797316353
2025-06-25,brain games for seniors,1,13.18,2000,high,3.5982444745716538
2025-06-25,brain games for seniors,2,24.64,2000,high,4.720388649229485
2025-06-25,brain games for seniors,3,8.48,2000,high,4.535593820799977
2025-06-25,brain games for seniors,4,13.0,2000,high,4.660976690038064
2025-06-25,brain games for seniors,5,8.36,2000,high,4.2353945307501295
2025-06-25,brain games for seniors,6,21.74,2000,high,4.564524803244533
2025-06-25,brain games for seniors,7,10.83,2000,high,4.709626135791318
2025-06-25,brain games for seniors,8,13.54,2000,high,4.2518801648494
2025-06-25,brain games for seniors,9,15.22,2000,medium,3.505302028081259
2025-06-25,brain games for seniors,10,17.74,2000,high,4.114577552759696
2025-06-25,logic puzzles adults,1,9.81,2000,high,4.314530369245722
